"id","number","title","document","volume","category","publication_status","normative_status","lifecycle_status","implementation_status","verification_status","freeze_version","freeze_date","change_control","pass_criteria_summary","fail_criteria_summary"
"XDV-001","1","Architectural Principles","XDV-001-Architectural-Principles.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-002","2","Formal Domain Model K Q Phi","XDV-002-Formal-Domain-Model-K-Q-Phi.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-003","3","System State Formalization","XDV-003-System-State-Formalization.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-004","4","Execution Semantics","XDV-004-Execution-Semantics.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-005","5","Deterministic Orchestration Model","XDV-005-Deterministic-Orchestration-Model.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-006","6","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-007","7","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-008","8","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-009","9","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-010","10","Kernel Architecture","XDV-010-Kernel-Architecture.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-011","11","Domain Abstraction Layer DAL","XDV-011-Domain-Abstraction-Layer-DAL.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-012","12","Cross Domain Scheduler CDS","XDV-012-Cross-Domain-Scheduler-CDS.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-013","13","Unified Memory Fabric UMF","XDV-013-Unified-Memory-Fabric-UMF.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-014","14","Domain Hypervisor","XDV-014-Domain-Hypervisor.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-015","15","Secure Domain Boundary Manager SDBM","XDV-015-Secure-Domain-Boundary-Manager-SDBM.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-016","16","Reserved","","VOLUME II - Kernel Core Specifications","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-017","17","Reserved","","VOLUME II - Kernel Core Specifications","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-018","18","Reserved","","VOLUME II - Kernel Core Specifications","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-019","19","Reserved","","VOLUME II - Kernel Core Specifications","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-020","20","Hybrid Process Model","XDV-020-Hybrid-Process-Model.md","VOLUME III - Hybrid Execution Layer","execution","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Hybrid process/IPC/transition semantics and contract lifecycle are deterministic and validated.","Transition/rollback nondeterministic or contract lifecycle invalid."
"XDV-021","21","Cross Domain IPC","XDV-021-Cross-Domain-IPC.md","VOLUME III - Hybrid Execution Layer","execution","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Hybrid process/IPC/transition semantics and contract lifecycle are deterministic and validated.","Transition/rollback nondeterministic or contract lifecycle invalid."
"XDV-022","22","Domain Transition Protocol","XDV-022-Domain-Transition-Protocol.md","VOLUME III - Hybrid Execution Layer","execution","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Hybrid process/IPC/transition semantics and contract lifecycle are deterministic and validated.","Transition/rollback nondeterministic or contract lifecycle invalid."
"XDV-023","23","Domain Resource Contracts","XDV-023-Domain-Resource-Contracts.md","VOLUME III - Hybrid Execution Layer","execution","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Hybrid process/IPC/transition semantics and contract lifecycle are deterministic and validated.","Transition/rollback nondeterministic or contract lifecycle invalid."
"XDV-024","24","Hybrid Fault Model","XDV-024-Hybrid-Fault-Model.md","VOLUME III - Hybrid Execution Layer","execution","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Hybrid process/IPC/transition semantics and contract lifecycle are deterministic and validated.","Transition/rollback nondeterministic or contract lifecycle invalid."
"XDV-025","25","Reserved","","VOLUME III - Hybrid Execution Layer","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-026","26","Reserved","","VOLUME III - Hybrid Execution Layer","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-027","27","Reserved","","VOLUME III - Hybrid Execution Layer","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-028","28","Reserved","","VOLUME III - Hybrid Execution Layer","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-029","29","Reserved","","VOLUME III - Hybrid Execution Layer","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-030","30","Cross Domain Security Model","XDV-030-Cross-Domain-Security-Model.md","VOLUME IV - Security and Integrity","security","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Authz/crypto/no-cloning/Phi-integrity constraints are enforced with auditable deterministic outputs.","Unauthorized action succeeds, crypto/attestation unverifiable, or no-cloning/integrity violated."
"XDV-031","31","Cryptographic Architecture","XDV-031-Cryptographic-Architecture.md","VOLUME IV - Security and Integrity","security","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Authz/crypto/no-cloning/Phi-integrity constraints are enforced with auditable deterministic outputs.","Unauthorized action succeeds, crypto/attestation unverifiable, or no-cloning/integrity violated."
"XDV-032","32","No Cloning Enforcement Q","XDV-032-No-Cloning-Enforcement-Q.md","VOLUME IV - Security and Integrity","security","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Authz/crypto/no-cloning/Phi-integrity constraints are enforced with auditable deterministic outputs.","Unauthorized action succeeds, crypto/attestation unverifiable, or no-cloning/integrity violated."
"XDV-033","33","Φ Integrity Constraints","XDV-033-Φ-Integrity-Constraints.md","VOLUME IV - Security and Integrity","security","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Authz/crypto/no-cloning/Phi-integrity constraints are enforced with auditable deterministic outputs.","Unauthorized action succeeds, crypto/attestation unverifiable, or no-cloning/integrity violated."
"XDV-034","34","Deterministic Audit and Attestation","XDV-034-Deterministic-Audit-and-Attestation.md","VOLUME IV - Security and Integrity","security","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Authz/crypto/no-cloning/Phi-integrity constraints are enforced with auditable deterministic outputs.","Unauthorized action succeeds, crypto/attestation unverifiable, or no-cloning/integrity violated."
"XDV-035","35","Reserved","","VOLUME IV - Security and Integrity","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-036","36","Reserved","","VOLUME IV - Security and Integrity","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-037","37","Reserved","","VOLUME IV - Security and Integrity","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-038","38","Reserved","","VOLUME IV - Security and Integrity","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-039","39","Reserved","","VOLUME IV - Security and Integrity","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-040","40","Cross Domain Network Stack","XDV-040-Cross-Domain-Network-Stack.md","VOLUME V - Networking and Distributed Systems","networking","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Distributed ordering, secure transport, and coordination decisions are deterministic and replay-equivalent.","Distributed ordering diverges or coordination is non-replayable."
"XDV-041","41","Distributed Hybrid Scheduling","XDV-041-Distributed-Hybrid-Scheduling.md","VOLUME V - Networking and Distributed Systems","networking","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Distributed ordering, secure transport, and coordination decisions are deterministic and replay-equivalent.","Distributed ordering diverges or coordination is non-replayable."
"XDV-042","42","Φ Native Distributed Consensus","XDV-042-Φ-Native-Distributed-Consensus.md","VOLUME V - Networking and Distributed Systems","networking","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Distributed ordering, secure transport, and coordination decisions are deterministic and replay-equivalent.","Distributed ordering diverges or coordination is non-replayable."
"XDV-043","43","Cross Domain Cloud Runtime","XDV-043-Cross-Domain-Cloud-Runtime.md","VOLUME V - Networking and Distributed Systems","networking","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Distributed ordering, secure transport, and coordination decisions are deterministic and replay-equivalent.","Distributed ordering diverges or coordination is non-replayable."
"XDV-044","44","Reserved","","VOLUME V - Networking and Distributed Systems","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-045","45","Reserved","","VOLUME V - Networking and Distributed Systems","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-046","46","Reserved","","VOLUME V - Networking and Distributed Systems","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-047","47","Reserved","","VOLUME V - Networking and Distributed Systems","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-048","48","Reserved","","VOLUME V - Networking and Distributed Systems","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-049","49","Reserved","","VOLUME V - Networking and Distributed Systems","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-050","50","DPL Kernel Subset","XDV-050-DPL-Kernel-Subset.md","VOLUME VI - DPL Integration","dpl-integration","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","DPL subset/type/ABI rules are enforced and verification targets have executable/proof evidence.","Subset/type/ABI not enforced or verification evidence missing."
"XDV-051","51","Domain Type System Extensions","XDV-051-Domain-Type-System-Extensions.md","VOLUME VI - DPL Integration","dpl-integration","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","DPL subset/type/ABI rules are enforced and verification targets have executable/proof evidence.","Subset/type/ABI not enforced or verification evidence missing."
"XDV-052","52","Hybrid Runtime ABI","XDV-052-Hybrid-Runtime-ABI.md","VOLUME VI - DPL Integration","dpl-integration","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","DPL subset/type/ABI rules are enforced and verification targets have executable/proof evidence.","Subset/type/ABI not enforced or verification evidence missing."
"XDV-053","53","Formal Verification Targets","XDV-053-Formal-Verification-Targets.md","VOLUME VI - DPL Integration","dpl-integration","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","DPL subset/type/ABI rules are enforced and verification targets have executable/proof evidence.","Subset/type/ABI not enforced or verification evidence missing."
"XDV-054","54","Reserved","","VOLUME VI - DPL Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-055","55","Reserved","","VOLUME VI - DPL Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-056","56","Reserved","","VOLUME VI - DPL Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-057","57","Reserved","","VOLUME VI - DPL Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-058","58","Reserved","","VOLUME VI - DPL Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-059","59","Reserved","","VOLUME VI - DPL Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-060","60","Q Hardware Provider Interface","XDV-060-Q-Hardware-Provider-Interface.md","VOLUME VII - Hardware Integration","hardware","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Provider registration/attestation and contract-scoped execution are enforced with deterministic errors.","Provider accepted without attestation, contract checks bypassed, or errors nondeterministic."
"XDV-061","61","Φ Hardware Provider Interface","XDV-061-Φ-Hardware-Provider-Interface.md","VOLUME VII - Hardware Integration","hardware","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Provider registration/attestation and contract-scoped execution are enforced with deterministic errors.","Provider accepted without attestation, contract checks bypassed, or errors nondeterministic."
"XDV-062","62","Hybrid Boot Architecture","XDV-062-Hybrid-Boot-Architecture.md","VOLUME VII - Hardware Integration","hardware","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Provider registration/attestation and contract-scoped execution are enforced with deterministic errors.","Provider accepted without attestation, contract checks bypassed, or errors nondeterministic."
"XDV-063","63","Reserved","","VOLUME VII - Hardware Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-064","64","Reserved","","VOLUME VII - Hardware Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-065","65","Reserved","","VOLUME VII - Hardware Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-066","66","Reserved","","VOLUME VII - Hardware Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-067","67","Reserved","","VOLUME VII - Hardware Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-068","68","Reserved","","VOLUME VII - Hardware Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-069","69","Reserved","","VOLUME VII - Hardware Integration","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-070","70","Cross Domain Telemetry Model","XDV-070-Cross-Domain-Telemetry-Model.md","VOLUME VIII - Observability and Diagnostics","observability","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Telemetry/replay/diagnostic records are deterministic, complete, and non-leaking.","Telemetry/replay lacks required deterministic fields or leaks protected state."
"XDV-071","71","Deterministic Replay Engine","XDV-071-Deterministic-Replay-Engine.md","VOLUME VIII - Observability and Diagnostics","observability","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Telemetry/replay/diagnostic records are deterministic, complete, and non-leaking.","Telemetry/replay lacks required deterministic fields or leaks protected state."
"XDV-072","72","Coherence and Decoherence Diagnostics","XDV-072-Coherence-and-Decoherence-Diagnostics.md","VOLUME VIII - Observability and Diagnostics","observability","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Telemetry/replay/diagnostic records are deterministic, complete, and non-leaking.","Telemetry/replay lacks required deterministic fields or leaks protected state."
"XDV-073","73","Reserved","","VOLUME VIII - Observability and Diagnostics","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-074","74","Reserved","","VOLUME VIII - Observability and Diagnostics","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-075","75","Reserved","","VOLUME VIII - Observability and Diagnostics","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-076","76","Reserved","","VOLUME VIII - Observability and Diagnostics","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-077","77","Reserved","","VOLUME VIII - Observability and Diagnostics","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-078","78","Reserved","","VOLUME VIII - Observability and Diagnostics","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-079","79","Reserved","","VOLUME VIII - Observability and Diagnostics","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-080","80","Kernel Reference Implementation DPL","XDV-080-Kernel-Reference-Implementation-DPL.md","VOLUME IX - Reference Implementation","reference","published","frozen_reference","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Reference module compiles, aligns to normative requirements, and is conformance-testable.","Reference diverges from normative requirements or lacks conformance hooks."
"XDV-081","81","Hybrid Runtime Reference","XDV-081-Hybrid-Runtime-Reference.md","VOLUME IX - Reference Implementation","reference","published","frozen_reference","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Reference module compiles, aligns to normative requirements, and is conformance-testable.","Reference diverges from normative requirements or lacks conformance hooks."
"XDV-082","82","Cross Domain Scheduler Reference","XDV-082-Cross-Domain-Scheduler-Reference.md","VOLUME IX - Reference Implementation","reference","published","frozen_reference","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Reference module compiles, aligns to normative requirements, and is conformance-testable.","Reference diverges from normative requirements or lacks conformance hooks."
"XDV-083","83","Domain Hypervisor Reference","XDV-083-Domain-Hypervisor-Reference.md","VOLUME IX - Reference Implementation","reference","published","frozen_reference","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Reference module compiles, aligns to normative requirements, and is conformance-testable.","Reference diverges from normative requirements or lacks conformance hooks."
"XDV-084","84","Conformance Test Suite","XDV-084-Conformance-Test-Suite.md","VOLUME IX - Reference Implementation","reference","published","frozen_certification","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Reference module compiles, aligns to normative requirements, and is conformance-testable.","Reference diverges from normative requirements or lacks conformance hooks."
